NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1273,22.377813360770336 85.31297741437078 -25.155918356689984,45,0,666.3227434698188,2
1328,22.041403800304618 49.836591903964724 26.666343437675742,33,1,463.5629719429759,2
1372,33.48514190114165 70.70503560359768 -0.11428916386214175,33,2,629.6407677449874,2
1381,26.52914183089171 58.8795733306247 15.884536441690765,22,3,357.09680069241386,2
1388,28.997396896300966 61.66208052825366 7.5372924523389395,34,4,548.7495935006675,2
1477,16.431729253258315 35.22876623916078 36.75249206516222,38,5,340.6658770500897,2
1496,9.868437196623555 17.142789541499763 59.70730922821836,22,6,238.92211205012174,2
1505,22.714642754559975 15.7518580146819 33.2742596890196,24,7,285.30383275203906,2
1518,1.5211535052928566 1.83964537287969 40.23022419729039,62,8,854.7232298271728,2
1539,10.911849835438298 1.1439603636784288 49.968673405879244,47,9,566.8173674016967,2
1547,22.041554475741034 5.31750626497935 60.75057493751482,116,10,1497.3490394940322,2
1593,6.042596137352019 -24.548313244655606 23.53542553371329,34,11,412.0946402212705,2
1606,8.477272171351016 -39.919081035520996 37.447378692599806,25,12,334.0995963206195,2
1622,0.13001148616989602 -47.5482857337232 33.969296990094826,31,13,461.85710393556434,2
1630,0.8255947748941042 -26.007014253631496 40.22995325021204,103,14,1289.4876808156273,2
1655,2.216854240283162 -36.44122926771682 54.14195918103523,50,15,751.0612459591338,2
1661,9.172896422421903 -20.39747610055224 60.40254769599152,50,16,665.5322770230345,2
1669,5.6948831249764265 -25.33406369533218 63.184932788644026,59,17,741.0777554065437,2
1693,40.77778127036764 17.839406549857088 -38.373122206342636,164,18,2439.3454740701095,3
1708,44.70454552227355 36.620800377094994 -42.546581364485405,104,19,1470.7586868883457,3
1734,67.59227997619959 1.144919994652844 -38.37334531595164,75,20,1125.0673597518876,3
1740,59.96303573524916 22.70862170017724 -32.80827456113906,79,21,964.6241512309166,3
1788,71.0703676021238 -7.157673035973231 -16.80966654456952,29,22,392.7037601684655,3
1816,67.92895728406043 -32.28918901021422 -20.98353859959916,35,23,486.4249098002985,3
1828,65.12417286366582 -39.91869324318159 7.536217929733769,47,24,514.921590299808,3
1885,57.15835674828814 -41.2649725721211 0.5801678719914333,23,25,264.0736644679364,3
1910,44.704793488519044 -73.24026331828638 -14.027832018975838,84,26,971.4185206528743,3
1999,18.90012743891694 -82.32821038156965 1.9710622366546677,60,27,885.8989899655425,3
2015,16.768458012063995 -69.76264533930733 22.839354913016756,86,28,1145.7413491747132,3
2022,29.334224858917285 -83.67459243382429 8.231474835322203,45,29,727.8144061935943,3
2026,25.519639145524255 -81.65521818344807 20.75240194049687,55,30,659.5355674424945,3
2053,59.29003086182697 -22.52856159187488 6.840795758831981,68,31,860.752712029482,3
2085,48.856018866543565 -9.290037665084308 47.881669663333795,36,32,399.4756128019872,3
2096,50.20234519101656 -20.397168981016712 36.0562682158959,24,33,289.00206951921456,3
2141,40.7779830370204 -19.723898667571394 23.88319748825395,46,34,572.0369129248887,3
2163,49.86579907589971 -62.80651038664931 20.40473000619368,26,35,458.4268425678019,3
2189,35.28052307341406 -58.65537070583912 23.535026631824632,60,36,703.0438586670163,3
2241,22.378216163146423 -55.85078345103392 49.27248585668657,65,37,860.1142563245572,3
2249,27.651296824709775 -30.158192508661873 43.36007850723088,42,38,455.242376345403,3
2258,37.748816402207915 -28.811935565384392 52.750741846303605,22,39,253.1249398186382,3
2293,30.007093235870997 21.317496646194463 -46.69789316728881,52,40,905.616889218086,3
2313,50.53870330857109 32.44700453783343 -24.808696290089177,25,41,394.35462739340676,3
2324,59.62645043181395 42.881045285555686 -18.89596741563815,23,42,329.7552333508679,3
2354,40.104554709396595 79.05250482610322 -19.938978509165675,41,43,521.8419913830503,3
2390,36.96317790156853 60.271001072896766 -4.288031875818774,73,44,1051.5766677895165,3
2456,64.11436398854518 0.44883216100514234 10.319037107042135,44,45,579.6287660296965,3
2496,51.5486216973494 7.404661656887777 31.187296664969615,36,46,554.2820893283757,3
2533,42.90970857108091 -3.680339719798287 49.272950631843834,36,47,415.35652794725945,3
2566,22.378152429164746 -11.421837134126209 54.142159091145025,16,48,189.27419657568603,3
2572,15.422088692641717 -12.094974982742297 49.968533805715055,16,49,232.940096457128,3
2618,42.57293162892211 56.79286484867141 7.537214557242186,30,50,390.29399708939064,3
2626,27.651199479895585 32.4462650020687 46.83871677486021,39,51,572.7092939358988,3
2634,30.007244580925956 34.53323921134892 31.18761012990601,35,52,442.75080930518635,3
2655,-35.346209339463954 43.576802805678554 -50.84872453353811,65,53,1011.8350234664731,4
2674,-33.60715274400288 31.751408760358817 -40.111837438224015,68,54,766.6584014551308,4
2694,-46.823633257279724 33.838089217417696 -28.63429567086751,85,55,1054.7828971669824,4
2719,-44.04127145016423 70.70517433238165 -27.59053255363263,48,56,607.5735968384855,4
2819,-44.04093090466456 -67.0700657555008 21.448303921661648,48,57,588.806799264553,4
2823,-63.17019796183089 -23.875044598690888 1.2762116163314048,18,58,233.61856572902806,4
2893,-62.82242950663236 -39.24543003766446 -24.461340995705935,70,59,804.0970544032068,4
2904,-67.3439617346313 2.53589067998149 -36.981822515722584,41,60,512.7137916386,4
2920,-44.73673267933929 10.88291579962504 -8.46196573010023,69,61,997.0073838227902,4
2952,-70.47409619647493 -24.548050296045513 -16.46171814736674,30,62,449.2853153020256,4
3012,-66.99605644160447 -33.63576995811015 -18.896434060317144,54,63,717.8108350470303,4
3029,-46.12782684376758 -42.72371014351157 4.406213776997747,73,64,1171.471723416307,4
3050,-23.172764034179348 -79.52352915038786 13.100871448155484,65,65,852.0262568619954,4
3059,-40.56294162860293 -74.02590874915688 -0.1155404638464068,42,66,752.2862324179644,4
3156,-48.21462716055618 -7.943772366430818 38.143422175326855,111,67,1734.5022573675017,4
3164,-29.78108309185885 -9.963220969807358 36.05654852464829,22,68,275.3754774344476,4
3178,-14.825535391516546 -13.441324681288203 46.490562379676796,45,69,592.865272640076,4
3202,-29.78114912490854 16.447443301065626 26.31832789043737,123,70,1723.0611023226556,4
3230,-27.69427769706665 5.317603156216464 42.317140422715546,120,71,1671.9698340526945,4
3280,-17.95573463375835 -18.377959340676277 54.14218088661037,96,72,1332.2631040072533,4
3360,-27.694198551823536 -53.831212050178294 33.273691088395886,85,73,1072.687361937419,4
3381,-22.47716246520921 -34.982658890594806 45.446960083313144,49,74,575.403219681091,4
3411,-28.389827438211046 -41.938584841417686 31.186991916639165,59,75,813.058251584634,4
3441,-13.434243008249876 -46.87537419058516 57.96772186808243,60,76,835.2586174496446,4
3447,-15.173275492505946 -42.724131261340496 52.750723619279476,33,77,431.2320814926742,4
3487,2.216490305495906 74.18326489240982 -25.851588760396123,56,78,586.0440823251066,5
3504,-18.999464449508615 81.13917505669306 -15.069587934248155,52,79,713.2545063114889,5
3556,-11.695505124661928 67.22673671324954 20.058335346609795,44,80,599.2145151324355,5
3599,-15.173406266112815 24.098950683114115 44.404113411222546,70,81,979.0427763294311,5
3605,-31.520168656316994 32.446277984333435 35.36136098983936,131,82,1879.9396818778366,5
3608,-23.86853170271749 35.924393489168466 27.70971813645804,97,83,1059.5751353270423,5
3631,-22.129602938092592 59.575184409152754 6.841780600862313,115,84,1562.8819580039158,5
3650,-25.607658768270642 79.05211202603765 8.928795507282793,63,85,794.5406040009105,5
3701,-11.347509855439801 -1.660985422741947 54.837934022007055,98,86,1370.0837350702495,5
3742,-2.652454216932036 8.099930961638567 56.22922299124213,71,87,1010.0550575636074,5
3779,-7.521714579020326 -12.094829711755496 31.187237461318677,50,88,602.166338843955,5
3797,-0.9134143145453035 -14.899869983102631 50.66415130690764,64,89,815.3053821618131,5
3829,-1.2611705213821836 -34.309568576342905 56.924409161022155,89,90,1194.6534458540323,5
