NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1242,-1.5929059891964314 40.04705475751392 -32.13937000857191,49,0,556.8414898339812,2
1286,-0.20601624350821227 84.42836679571207 -2.32053551220794,26,1,334.0143150715977,2
1304,-0.20605207476440884 85.1218353615681 -8.561664416354821,30,2,387.0114262433287,2
1351,12.958967021182227 35.886180607236085 44.141027772164065,35,3,586.5675948392153,2
1377,9.156132083289902 37.966532151002546 46.568161447279294,55,4,667.9710934758976,2
1442,16.42613640139905 54.6096064664341 35.12608875471353,18,5,344.8047485654837,2
1462,21.347524061841305 31.725495694027007 29.578334739764188,34,6,437.2259885800276,2
1469,13.965404841451866 65.01149231662176 29.92518505359119,44,7,593.5664037928898,2
1480,18.551225156009277 56.69000129227349 31.658787323425262,66,8,968.2838063368677,2
1581,-27.943967892939725 28.25799266829311 30.27204635998549,80,9,940.719583777549,2
1597,-9.913949178547492 33.1122324277253 50.38227447797381,39,10,446.930010693944,2
1606,-32.45135139617173 16.46914806499409 39.98046537254148,25,11,305.00740309804553,2
1614,-31.411203344403287 22.71029075460899 37.20663961032418,25,12,341.5755103432204,2
1627,-14.768020993430332 -5.005652714379626 46.91491071013653,31,13,435.9573117482041,2
1647,-30.02412430448582 -7.130826094673753 44.1411507414958,42,14,606.6134326299057,2
1657,-28.290503376731177 1.2577942898872196 45.5280816446638,51,15,669.364296963494,2
1688,3.2615253582555592 49.06192593602002 16.402753092958946,37,16,409.78975221733236,2
1710,23.02546119918139 -3.6633045401025224 42.060501622347886,65,17,910.5452438712532,2
1736,21.34780445260994 -16.078471072393143 44.83431584578725,76,18,1161.575223525572,2
1762,37.22957535474223 46.981810920685696 -33.52647578743739,134,19,1756.7513600015438,3
1771,49.75669929855365 35.193028570614345 -19.657391517011387,57,20,693.1808131177443,3
1862,44.16481280739206 -80.61466313709482 -12.029593295873948,73,21,1085.4859249984443,3
1881,29.289051793555828 -90.34552290566079 -9.602431836771476,85,22,1188.5569953301417,3
1895,53.5595346920493 33.80613015065848 -21.044332599706706,65,23,811.9093947388061,3
1952,60.15895931532759 -52.20513333713621 -17.577280859436208,83,24,921.972375389655,3
1968,54.566357604037385 -17.532186602280884 -26.245405756975405,53,25,745.0601658379445,3
1980,61.83638754480456 10.922023743408369 -23.47153796413144,60,26,750.9568465525136,3
2053,26.827751977870218 50.44902538082449 -18.963775939159305,55,27,690.4106267265208,3
2085,41.032467047626696 71.94627632210606 -3.360971756203237,32,28,435.03995085108846,3
