NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1256,2.375629969932038 77.06830627573729 -24.633596308980998,58,0,790.4242698790456,2
1273,-1.9257653097152831 62.73019701390398 -31.0857556905391,50,1,650.0900841013074,2
1332,13.164435241550896 -21.818400108924436 24.115734169843837,64,2,893.0686707822064,2
1369,4.168614259388935 -58.473124782158166 36.303082420012075,60,3,902.8636850958428,2
1383,2.7345605614274326 -32.57195764982268 -8.861889356779969,74,4,1096.7044753422458,2
1387,-1.5668351068054918 -25.402959697440917 11.21148156641007,35,5,513.0924014206324,2
1427,33.16789286067096 89.25576812329233 0.45800911391982263,56,6,689.3430378501442,2
1465,23.22393941012129 49.825907931484004 19.81440628116315,99,7,1359.9455806760434,2
1520,24.264699624064143 49.108956545389994 47.41524820501981,64,8,747.8439994925507,2
1557,27.502459234051106 17.565141705530895 47.773633252342506,73,9,1077.0564091194599,2
1606,12.470840095326349 -43.32561408055498 55.65952300644388,76,10,1030.162573711342,2
1634,3.4515392932257525 -8.983560446010218 43.83068131368649,52,11,540.010771956319,2
1661,20.33352605984071 -5.398993674171135 57.0933768911377,71,12,813.7586761806715,2
1689,46.81227404371662 41.940155087482765 -39.688808027853675,26,13,397.50806206326894,3
1705,59.415955928646326 38.355673722250955 -36.104330484543226,44,14,598.2849454611259,3
1749,48.315451395464514 49.1092025016812 -33.953559333364204,32,15,338.6867728245852,3
1769,40.68391858177813 53.41057344788983 -17.106256904998236,71,16,1043.5623015881026,3
1782,39.64337262035029 27.601968537607096 -9.57879873163697,45,17,577.4539366782747,3
1828,43.22784586981016 55.56124889933811 7.626965623363466,59,18,889.8095246865666,3
1858,49.35619036705478 55.56129493986882 -4.201988178572617,56,19,742.7726601922253,3
1954,43.575209885689546 -35.4626463434666 45.62276748955343,67,20,844.9392223934556,3
1962,56.52568018530132 -19.73692619311779 41.321323852874805,61,21,823.2789504629229,3
1986,33.515367205353776 -16.152515423274124 54.9426035978372,50,22,636.2443974140376,3
2000,24.611853530380092 -25.402909621666808 39.17069763392882,63,23,892.6845636933631,3
2009,43.92181134683488 1.076477713829483 -0.2590945815622884,114,24,1549.0601620119442,3
2060,43.574889168190516 34.77096049990205 30.926342211892212,58,25,794.36881637485,3
2120,34.67147444363648 24.734227327511928 44.90600405191953,51,26,572.2282515124882,3
2136,32.82148778988947 -3.8957219269398236 38.45380805348589,60,27,942.2464981297462,3
2150,44.731352250660365 3.944017091035701 44.90593354818595,39,28,634.7632229454721,3
2177,46.11888121599518 -21.818232504893086 3.3253814181891945,67,29,898.056842357587,3
2217,56.525387345630605 4.661092038700361 -21.407830065685157,41,30,503.70833388613016,3
2226,55.36909375599093 2.510374239104401 -22.483186294972356,26,31,362.8331615462568,3
