NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1261,4.159959812802203 80.90908027662442 -33.648023107844445,85,0,1167.28363526915,2
1376,16.097993316044295 -8.24413055788599 52.82447765697822,93,1,1313.4456111463364,2
1403,25.65223233978823 47.54511984110456 27.631829298462996,66,2,802.4251480371796,2
1440,25.9818046743145 19.62851696567952 43.97302800050032,44,3,570.2536454686739,2
1448,21.479126363465888 38.01253165848147 47.037163122041825,95,4,1370.7726038344945,2
1475,15.768275768029753 65.24830547110054 18.780397348032064,60,5,579.4511173335119,2
1509,36.1947947197107 81.58995244636992 -22.753899616695943,86,6,1183.9431674239422,2
1542,25.981610303684743 64.5674653023148 13.333230729260011,88,7,1234.1321034240107,2
1578,15.768504566727357 -30.757349053827863 37.16386771648973,84,8,1131.6605269442207,2
1600,4.500886812775487 -36.248433020887994 39.88744068425196,59,9,755.6425993740553,2
1627,15.768551620848912 -34.82078887212995 47.37719851105366,71,10,995.3544773522374,2
1721,55.19423141667135 -58.65172086490299 19.460394323430776,66,11,1014.9582446196104,3
1758,51.130897605226636 -41.62957726073256 37.84455209732335,49,12,556.4399735512642,3
1792,35.09708366736711 -67.54738715901674 41.589358162088644,28,13,333.665679551191,3
1802,26.640797924382376 -54.5884531959168 30.354777939136095,40,14,423.9548125759902,3
1808,32.461335099632386 -47.77958768653113 38.525478617542205,113,15,1420.5253871098082,3
1826,57.610233722601485 -75.01492641135279 -1.6473152334063292,96,16,1245.6004638070615,3
1854,33.12015864373756 -85.22831295991197 -2.328169480068554,79,17,1180.1084880460637,3
1903,49.81287574602239 -57.33369385394644 -11.179644664586826,74,18,1083.1256461074659,3
1954,43.00411391317823 -30.757296688847294 35.80197722214939,90,19,1221.5674114013293,3
1993,47.396991924182466 -14.394050701871345 51.802981130854675,89,20,1332.2007369408543,3
2001,53.217497235856065 -23.289511704490675 46.015336266229475,74,21,919.2965603659287,3
2028,29.715400401751342 34.608557162450694 -30.924839123143794,67,22,854.4321122719913,3
2088,46.07879347191229 61.16314896809573 -4.370019676649451,74,23,1030.9148005719305,3
2110,51.130708117108526 43.459833787220525 24.908140896101873,63,24,790.3235852373582,3
2126,40.91728942931079 57.75857672374771 14.694911534416674,57,25,859.4315050467571,3
2186,45.749513974979365 36.65087974505667 31.71702637515443,56,26,662.5051294465202,3
2210,58.598387955354696 10.096522990220224 -26.499311274318867,76,27,1130.1442389480067,3
