NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1306,27.78787001529405 84.33290758597276 -28.518977100790824,35,0,500.7274242578095,2
1318,22.51499877903194 74.5775776184464 -17.852474223535932,58,1,766.301817760814,2
1334,19.676712778747344 70.98001221257867 -5.960755195202546,50,2,777.9198537209807,2
1380,20.374704615435782 72.0712510306985 21.18387122449322,68,3,860.3083118840835,2
1394,24.892809694563937 79.50664235419134 3.4465680438659776,51,4,699.6905976072195,2
1403,16.351335734502662 68.7754334012364 6.870703091562355,42,5,538.0492948824742,2
1451,18.345554101583584 62.937960968621546 30.280163646479405,75,6,1058.8257047628942,2
1485,17.83247251828358 38.76566950845145 36.31581897044861,77,7,942.032957662172,2
1526,9.408502550167938 19.22270386889737 56.731158540917214,46,8,605.5460374600972,2
1554,18.889273809729296 16.68528773886513 43.699014590873624,57,9,737.3122425643165,2
1602,2.8443783218148875 3.814393381127189 61.79298931877543,37,10,425.45169122659314,2
1634,10.099887032957792 -8.42315971351687 44.292835899520526,85,11,1097.086801359197,2
1650,7.805830442874284 -3.5435893369660088 29.73327174598872,39,12,717.2446702062003,2
1687,8.884331152750402 -24.17773091623461 22.46341227592231,46,13,446.1891951236458,2
1703,6.158390171708821 -44.38281317821919 61.502203829895635,48,14,683.8765912923761,2
1720,12.339828923118475 -30.993622436178736 56.842753763984476,17,15,247.80144383693775,2
1753,47.16587899729495 27.61383154229867 -40.319377852435835,72,16,853.2408342582163,3
1849,24.548759158912638 1.94860918759899 47.9486904645005,92,17,1200.012371789218,3
1858,37.56852229684551 6.3320746112182045 38.19960275226163,38,18,478.0024663588896,3
1866,32.20623852912175 16.252071560585293 49.092334308059776,28,19,355.0356151967716,3
1872,27.385546503670053 13.657337758441944 35.392634933360746,52,20,813.0207099823793,3
1910,11.894710221298467 20.421078678464674 -31.795636596178007,57,21,772.4438372690612,3
1958,29.36826533671148 67.07891638627228 -2.295593454373559,42,22,533.9715605565475,3
1969,41.514621255213974 41.140645494378425 -7.137423857470077,58,23,680.0730817375143,3
2046,58.57843509434471 17.300518468007514 23.129924157236232,35,24,512.7062209525214,3
2069,37.35100738618747 19.358691531839685 41.74109610873877,32,25,434.3152201559696,3
2076,38.195284670970075 24.88743304569979 44.27479841082596,53,26,765.9206135431997,3
2086,27.03843268995425 28.14640750527399 41.58505553426378,21,27,341.5877590018907,3
2144,32.65967452757572 64.07413666681062 7.1439243178299385,55,28,690.0504393122309,3
2171,23.14722688158247 66.63863383316813 20.85239293915014,74,29,1092.9796643759864,3
2186,26.50286274364802 50.45696355102624 23.015357136253037,64,30,862.9257384696749,3
2203,28.836154972789203 39.20433013901937 46.6575556905197,56,31,869.5665910972525,3
2226,31.649793337976988 5.597655047493535 3.3283613520226303,49,32,634.7589174223643,3
2289,45.96480393089415 0.4049896604788401 25.25240480027277,58,33,718.6874029749295,3
2315,23.221105746504957 -16.642140747562454 40.48430467456,46,34,589.1133469285172,3
2328,29.1069519195636 -2.9977901737965045 58.54363121802016,60,35,732.9246198588141,3
2346,45.56237746383595 5.874313819693915 26.372312452093354,37,36,472.3157617675884,3
2364,50.3631484689188 11.095592327971472 37.92922270695123,28,37,416.8458145281655,3
2377,31.95610262183451 -21.110266266819444 29.53121682324353,38,38,584.8826821353197,3
2398,29.282100986953473 -23.703577599081324 49.53710584990313,33,39,482.57090679815,3
2403,35.94077116295126 -29.313960953967996 45.66086696002796,87,40,1076.8812707830584,3
2467,50.58634408338295 15.03718293069365 -32.82281600119543,38,41,480.119329709947,3
2476,68.29897072321556 -21.803834860466676 -22.37117100219948,37,42,571.3066665591192,3
2498,53.27288986758469 -50.626943298231055 -12.076786970753998,34,43,461.3008941918262,3
2536,65.0845037406404 -16.712784380801708 -12.542243873934028,110,44,1512.5824070824124,3
2545,49.935890312559344 -17.35140410855483 21.397239250417194,30,45,451.54648036709943,3
2595,35.93696991664617 -63.573197388624614 20.555893307575754,63,46,849.162520596518,3
2624,19.14147803458147 -27.415257318554712 42.08242521746632,92,47,1284.3233796403033,3
2656,17.497664109901674 -48.82689567994238 51.00957823215987,43,48,569.4829104007224,3
