NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1266,2.09119904149686 40.37579736710516 -33.98569616582748,295,0,3979.5520694260313,2
1311,2.426153446672965 7.594783136090279 53.6529534491067,119,1,1527.7842463613256,2
1354,5.1022387361823105 -29.200080261461267 51.98039533628027,50,2,679.0760559678203,2
1374,1.4227520119865802 -15.820149813465816 61.011898012363446,91,3,1147.9406686176992,2
1417,13.432356024649982 -24.560245601141574 59.004841441633985,47,4,635.3950375147176,2
1437,10.788515724878826 -19.812455631093798 9.49903109611221,49,5,612.446416485385,2
1482,4.0987543589637285 -64.70009452814509 31.575918037747286,97,6,1381.868752223888,2
1524,16.12990969321036 -52.61494759471575 36.25886954268312,86,7,1140.3013890109446,2
1565,61.34070217646255 35.69296497662208 -26.29247530222338,112,8,1202.184829033832,3
1649,49.90330743552731 -45.27739958829232 -6.222615327191213,40,9,594.4733664719506,3
1681,49.90340841072374 -67.2895937957039 3.477819657408171,38,10,544.9804351481989,3
1689,52.600965286047995 -70.63456499015308 -2.2086769337012453,81,11,1034.8158669860002,3
1734,56.26929948845127 14.285033534109154 -32.647964889048644,53,12,664.0311961270478,3
1754,58.643317846024814 24.988939217529666 11.505889426126902,41,13,581.5751334090361,3
1785,51.953463552894746 21.643891993916807 38.93481847040385,96,14,1185.4322883295724,3
1793,61.34086747645708 43.05187470749364 18.195882324578815,29,15,367.82082408580555,3
1814,22.495631262300066 29.002901654268403 -40.977904415531285,56,16,750.9672989915348,3
1862,49.579181115873205 72.48781134635463 -27.964868239161543,58,17,837.1073999267682,3
1901,34.90451835080201 66.46675221517775 -2.2084037422486005,62,18,992.8189431347206,3
1938,70.94419542143339 -5.137459609422531 -19.26810063613308,84,19,1049.529278425121,3
2006,50.55067746532155 35.69284433928332 36.258854424106424,77,20,958.1815629439953,3
2052,40.51564243881833 49.072784181544726 28.230942689906822,51,21,630.4033264806135,3
2058,40.94720313572559 52.41778587067864 18.864977547871952,21,22,339.6894164301524,3
2074,42.24213144416275 44.3897936359772 35.92440138746874,74,23,988.910106866437,3
