NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1285,11.761341632339477 85.73351161067771 -12.903024196328808,110,0,1535.3227797619961,2
1298,-4.088333897633001 85.1347715827374 3.3473733992263814,55,1,821.679407821531,2
1316,-8.001602112829312 71.50455384736033 14.834324235226424,74,2,909.430818518442,2
1380,8.277283750006275 9.885021619697472 33.272081987075566,80,3,1041.5228383841377,2
1434,16.947164734772244 -4.674415279533152 57.576647478910466,114,4,1597.7033520888128,2
1444,22.09643820130483 5.536148016621659 53.066790491591675,135,5,1751.5084513842412,2
1463,0.5028356633231383 -19.369088049032687 59.758451540536136,128,6,1582.911578912806,2
1476,-1.026028275253392 -18.356645744889633 34.70036488033229,49,7,619.4851988000001,2
1484,11.389619605957492 -7.212384153519188 19.465026493390486,59,8,921.7628514797149,2
1487,-0.19220732293187837 -8.028369997807774 28.248787294300545,29,9,323.0373584561299,2
1558,62.84551037606626 -6.106209341221462 23.22109677598777,56,10,715.7147848675035,3
1590,52.55708694225725 5.620952817467414 35.96258865893737,109,11,1609.2629340246442,3
1615,23.557326978594837 -24.67066039186666 44.3855680003909,41,12,628.9513591777933,3
1629,37.87478152464629 -40.49550151700443 41.670052087861094,65,13,776.5001692041811,3
1653,33.945872867934675 -29.963573989422173 37.82265466318557,44,14,603.3132551080049,3
1662,32.39792055606661 -42.34877424668279 47.81449015232481,72,15,908.1860127413009,3
1690,52.843006749480786 28.030838663007383 -46.631709997393976,63,16,706.6225560487427,3
1726,68.66139291219473 -13.679042866374719 -2.66877292479875,51,17,705.5469765064393,3
1752,65.46460505651692 -29.909870016228627 -26.72407793030584,55,18,724.4387976420848,3
1802,34.482055983957416 2.904516488279179 0.7326845387364649,44,19,568.7701139611362,3
1847,61.740263023999844 -46.08641132019122 2.221360257200624,60,20,829.1446576243909,3
1899,49.820358110764474 -65.80908970472755 9.19650916470605,37,21,465.4469370638864,3
1912,31.761660941107394 -76.13658558094544 21.132392995791143,36,22,620.6062726877204,3
1924,29.488392305948928 -59.8019974519241 39.80096040515666,40,23,610.2833112351999,3
1942,21.146245229579456 -65.0525527650863 38.07744251798018,90,24,1172.1594004045555,3
1956,16.09454870771691 -51.099485995885836 27.597527650423004,45,25,567.9917691819585,3
1965,31.260189648221093 -38.30802111811924 30.367872330453494,53,26,837.0753896502245,3
2020,30.207296901224353 19.970345128341148 12.83811250901955,69,27,1072.65973846071,3
2031,39.94151448236653 25.796132690360746 5.4416634080478055,29,28,298.3674528790889,3
2066,61.89175973321001 8.925797389173699 0.03334375722771843,33,29,398.7770055208601,3
2131,25.203323667232205 5.800193500956145 32.039659366141755,60,30,787.2639244629326,3
2145,16.87729162550361 20.694122870368854 30.026876076723436,59,31,657.9950567366715,3
2159,36.54306282714119 43.02093111157126 29.71410427701677,48,32,564.6443451564626,3
2186,44.07146124285504 6.721534720700874 43.215967981162294,31,33,349.4935806547054,3
2202,42.614705768061825 0.3965372542482868 36.7348425124236,66,34,987.9425162303976,3
2210,38.35082490945935 -10.44272248030034 44.70837016280188,59,35,811.7694423134615,3
2222,18.015957095957248 -14.001409725447022 45.82135695903191,86,36,1217.8421890792479,3
2261,55.70647774326197 38.5117766850616 6.100633737831565,44,37,603.4824838100825,3
