ID,VesselID,Connectivity,Position,Radius,LengthAlongVessel,Elasticity,R1,R2,C,Thickness,Type
86,5,"87,85","-16.7105824429718,-67.56569926891405,-164.4479766322155",2.500000,69.333333,400000.000000,,,,0.519964,0,
87,5,"86,88","-16.905502869865277,-66.98415708865315,-163.3004462615545",2.500000,71.809524,400000.000000,,,,0.519964,0,
88,5,"89,87","-17.100423296758755,-66.40261490839227,-162.15291589089347",2.500000,74.285714,400000.000000,,,,0.519964,0,
89,5,"88,90","-17.31706037766599,-65.83392862242059,-161.00317449938632",2.500000,76.761905,400000.000000,,,,0.519964,0,
90,5,"91,89","-17.55976140180467,-65.28067175291112,-159.85077947984877",2.500000,79.238095,400000.000000,,,,0.519964,0,
91,5,"90,92","-17.802462425943357,-64.72741488340165,-158.69838446031122",2.500000,81.714286,400000.000000,,,,0.519964,0,
92,5,"93,91","-18.04516345008204,-64.17415801389218,-157.54598944077367",2.500000,84.190476,400000.000000,,,,0.519964,0,
93,5,"92,94","-18.30856908386772,-63.63627582838298,-156.3910316510374",2.500000,86.666667,400000.000000,,,,0.519964,0,
94,5,"95,93","-18.58381128842365,-63.107183160683675,-155.23460875708795",2.500000,89.142857,400000.000000,,,,0.519964,0,
95,5,"96,94","-18.859053492979584,-62.57809049298438,-154.07818586313854",2.500000,91.619048,400000.000000,,,,0.519964,0,
96,5,"95,97","-19.134295697535517,-62.04899782528507,-152.9217629691891",2.500000,94.095238,400000.000000,,,,0.519964,0,
97,5,"98,96","-19.434583943754568,-61.53569370351371,-151.7645412661183",2.500000,96.571429,400000.000000,,,,0.519964,0,
98,5,"97,99","-19.74044002257939,-61.02589943699203,-150.60714198466877",2.500000,99.047619,400000.000000,,,,0.519964,0,
99,5,"100,98","-20.046296101404213,-60.51610517047035,-149.44974270321927",2.500000,101.523810,400000.000000,,,,0.519964,0,
100,5,"99,101","-20.352152180229034,-60.006310903948666,-148.29234342176974",2.500000,104.000000,400000.000000,,,,0.519964,0,
101,5,"102,100","-20.551474512507628,-59.521379474538236,-147.10149408727918",2.500000,106.476190,400000.000000,,,,0.519964,0,
102,5,"101,103","-20.75078698635347,-59.03645034588805,-145.91064165738354",2.500000,108.952381,400000.000000,,,,0.519964,0,
103,5,"104,102","-20.950099460199315,-58.55152121723786,-144.7197892274879",2.500000,111.428571,400000.000000,,,,0.519964,0,
104,5,"103,105","-21.139997117589118,-58.068515705096274,-143.52680160144055",2.500000,113.904762,400000.000000,,,,0.519964,0,
105,5,"106,104","-21.287501935675277,-57.594171813275366,-142.3241996586657",2.500000,116.380952,400000.000000,,,,0.519964,0,
106,5,"105,107","-21.43500675376144,-57.11982792145446,-141.12159771589083",2.500000,118.857143,400000.000000,,,,0.519964,0,
107,5,"108,106","-21.582511571847597,-56.64548402963355,-139.91899577311594",2.500000,121.333333,400000.000000,,,,0.519964,0,
108,5,"109,107","-21.70078080941592,-56.17027125956356,-138.71413484988372",2.500000,123.809524,400000.000000,,,,0.519964,0,
109,5,"110,108","-21.767867799909524,-55.69353735871955,-137.5053191669424",2.500000,126.285714,400000.000000,,,,0.519964,0,
110,5,"111,109","-21.83495479040313,-55.216803457875535,-136.29650348400108",2.500000,128.761905,400000.000000,,,,0.519964,0,
111,5,"112,110","-21.902041780896734,-54.740069557031525,-135.0876878010598",2.500000,131.238095,400000.000000,,,,0.519964,0,
112,5,"113,111","-21.997021051745342,-54.2021468438648,-133.90865433248473",2.500000,133.714286,400000.000000,,,,0.519964,0,
113,5,"114,112","-22.115253580326684,-53.61321219459279,-132.75444972328216",2.500000,136.190476,400000.000000,,,,0.519964,0,
114,5,"115,113","-22.233486108908025,-53.024277545320786,-131.6002451140796",2.500000,138.666667,400000.000000,,,,0.519964,0,
115,5,"116,114","-22.351718637489363,-52.43534289604878,-130.44604050487706",2.500000,141.142857,400000.000000,,,,0.519964,0,
116,5,"115,117","-22.471023859864754,-51.83790713610986,-129.2963392996308",2.500000,143.619048,400000.000000,,,,0.519964,0,
117,5,"118,116","-22.590731451996533,-51.237282591219376,-128.14832733092425",2.500000,146.095238,400000.000000,,,,0.519964,0,
118,5,"117,119","-22.71043904412831,-50.63665804632891,-127.00031536221772",2.500000,148.571429,400000.000000,,,,0.519964,0,
119,5,"120,118","-22.830146636260093,-50.036033501438425,-125.85230339351118",2.500000,151.047619,400000.000000,,,,0.519964,0,
120,5,"119,121","-22.953848935050395,-49.427739562999,-124.70876591293386",2.500000,153.523810,400000.000000,,,,0.519964,0,
121,5,"122,120","-23.077951052014303,-48.818678018028336,-123.56567627041433",2.500000,156.000000,400000.000000,,,,0.519964,0,
122,5,"121,123","-23.202053168978207,-48.20961647305768,-122.42258662789482",2.500000,158.476190,400000.000000,,,,0.519964,0,
123,5,"124,122","-23.332716786107206,-47.59765492100778,-121.28203332455486",2.500000,160.952381,400000.000000,,,,0.519964,0,
124,5,"123,125","-23.529053048304,-46.956667821321325,-120.16686569499666",2.500000,163.428571,400000.000000,,,,0.519964,0,
125,5,"124,126","-23.72538931050079,-46.31568072163487,-119.05169806543846",2.500000,165.904762,400000.000000,,,,0.519964,0,
126,5,"125,127","-23.921725572697582,-45.674693621948414,-117.93653043588024",2.500000,168.380952,400000.000000,,,,0.519964,0,
127,5,"126,128","-24.15656054101402,-45.023910237693755,-116.83675622705252",2.500000,170.857143,400000.000000,,,,0.519964,0,
128,5,"127,129","-24.494085153001024,-44.34699670328606,-115.77804170695231",2.500000,173.333333,400000.000000,,,,0.519964,0,
129,5,"128,130","-24.831609764988034,-43.67008316887836,-114.71932718685207",2.500000,175.809524,400000.000000,,,,0.519964,0,
130,5,"129,131","-25.169134376975034,-42.99316963447067,-113.66061266675186",2.500000,178.285714,400000.000000,,,,0.519964,0,
131,5,"130,132","-25.483342722578442,-42.31228338226663,-112.59760525323378",2.500000,180.761905,400000.000000,,,,0.519964,0,
132,5,"131,133","-25.769568880934344,-41.62662941419291,-111.52944587646928",2.500000,183.238095,400000.000000,,,,0.519964,0,
133,5,"132,134","-26.055795039290246,-40.9409754461192,-110.46128649970478",2.500000,185.714286,400000.000000,,,,0.519964,0,
134,5,"133,135","-26.34202119764615,-40.25532147804548,-109.39312712294026",2.500000,188.190476,400000.000000,,,,0.519964,0,
135,5,"134,136","-26.548401730083484,-39.583261695747936,-108.30012589157685",2.500000,190.666667,400000.000000,,,,0.519964,0,
136,5,"135,137","-26.709145256422573,-38.91897188121044,-107.1929259128584",2.500000,193.142857,400000.000000,,,,0.519964,0,
137,5,"136,138","-26.869888782761663,-38.25468206667294,-106.08572593413996",2.500000,195.619048,400000.000000,,,,0.519964,0,
138,5,"137,139","-27.030632309100756,-37.59039225213543,-104.9785259554215",2.500000,198.095238,400000.000000,,,,0.519964,0,
139,5,"138,140","-27.207730810990796,-36.875887348381184,-103.90603236776099",2.500000,200.571429,400000.000000,,,,0.519964,0,
140,5,"139,141","-27.388464319143605,-36.15022179426583,-102.8412525151935",2.500000,203.047619,400000.000000,,,,0.519964,0,
141,5,"142,140","-27.56919782729641,-35.4245562401505,-101.77647266262606",2.500000,205.523810,400000.000000,,,,0.519964,0,
142,5,"141,3828","-27.74993133544922,-34.698890686035156,-100.7116928100586",2.500000,208.000000,400000.000000,,,,0.519964,0,
143,6,"144,3826","6.0864033699035645,-66.93048858642578,-188.23606872558594",2.500000,0.000000,400000.000000,,,,0.519964,0,
144,6,"145,143","6.75542303684483,-66.66037906089865,-187.18318036185778",2.500000,2.492958,400000.000000,,,,0.519964,0,
145,6,"144,146","7.424442703786096,-66.39026953537152,-186.13029199812965",2.500000,4.985915,400000.000000,,,,0.519964,0,
146,6,"147,145","8.093462370727362,-66.12016000984438,-185.0774036344015",2.500000,7.478873,400000.000000,,,,0.519964,0,
147,6,"146,148","8.762528544350971,-65.8500500999956,-184.02454492574165",2.500000,9.971831,400000.000000,,,,0.519964,0,
148,6,"149,147","9.431724986120047,-65.57993911363765,-182.97176928279526",2.500000,12.464789,400000.000000,,,,0.519964,0,
149,6,"150,148","10.100921427889123,-65.3098281272797,-181.91899363984888",2.500000,14.957746,400000.000000,,,,0.519964,0,
150,6,"149,151","10.770117869658197,-65.03971714092175,-180.86621799690252",2.500000,17.450704,400000.000000,,,,0.519964,0,
151,6,"152,150","11.405088982341377,-64.79994245105554,-179.7864492233756",2.500000,19.943662,400000.000000,,,,0.519964,0,
152,6,"151,153","12.00924160705418,-64.58748433676267,-178.68237425638625",2.500000,22.436620,400000.000000,,,,0.519964,0,
153,6,"152,154","12.613394231766982,-64.37502622246978,-177.57829928939688",2.500000,24.929577,400000.000000,,,,0.519964,0,
154,6,"155,153","13.217546856479787,-64.1625681081769,-176.4742243224075",2.500000,27.422535,400000.000000,,,,0.519964,0,
155,6,"154,156","13.748454260092904,-63.94340606825151,-175.33516550380733",2.500000,29.915493,400000.000000,,,,0.519964,0,
156,6,"157,155","14.25981046060003,-63.72245456261518,-174.18676851436126",2.500000,32.408451,400000.000000,,,,0.519964,0,
157,6,"158,156","14.771166661107156,-63.50150305697885,-173.03837152491522",2.500000,34.901408,400000.000000,,,,0.519964,0,
158,6,"157,159","15.271548073840748,-63.27543669826624,-171.88734608910562",2.500000,37.394366,400000.000000,,,,0.519964,0,
159,6,"160,158","15.573670498130959,-62.956970776312566,-170.68883790210646",2.500000,39.887324,400000.000000,,,,0.519964,0,
160,6,"159,161","15.87579292242117,-62.63850485435889,-169.4903297151073",2.500000,42.380282,400000.000000,,,,0.519964,0,
161,6,"162,160","16.17791534671138,-62.320038932405225,-168.29182152810813",2.500000,44.873239,400000.000000,,,,0.519964,0,
162,6,"161,163","16.3933668013347,-61.97279918262273,-167.09012423741638",2.500000,47.366197,400000.000000,,,,0.519964,0,
163,6,"164,162","16.421470799278048,-61.563362096368806,-165.88153339899822",2.500000,49.859155,400000.000000,,,,0.519964,0,
164,6,"163,165","16.449574797221395,-61.15392501011488,-164.67294256058005",2.500000,52.352113,400000.000000,,,,0.519964,0,
165,6,"166,164","16.477678795164742,-60.74448792386096,-163.4643517221619",2.500000,54.845070,400000.000000,,,,0.519964,0,
166,6,"165,167","16.540101344978787,-60.291756763855446,-162.2736329306864",2.500000,57.338028,400000.000000,,,,0.519964,0,
167,6,"168,166","16.62743217518381,-59.80760292225383,-161.0958856060166",2.500000,59.830986,400000.000000,,,,0.519964,0,
168,6,"167,169","16.71476300538883,-59.32344908065221,-159.91813828134678",2.500000,62.323944,400000.000000,,,,0.519964,0,
169,6,"170,168","16.80209383559385,-58.839295239050585,-158.74039095667695",2.500000,64.816901,400000.000000,,,,0.519964,0,
170,6,"171,169","16.86302761418934,-58.29718380219488,-157.58685046402448",2.500000,67.309859,400000.000000,,,,0.519964,0,
171,6,"172,170","16.919031137680008,-57.74424745450855,-156.43783115271037",2.500000,69.802817,400000.000000,,,,0.519964,0,
172,6,"173,171","16.97503466117068,-57.191311106822226,-155.28881184139624",2.500000,72.295775,400000.000000,,,,0.519964,0,
173,6,"174,172","17.02819871521788,-56.6350895764498,-154.14132223437687",2.500000,74.788732,400000.000000,,,,0.519964,0,
174,6,"175,173","17.057359407411408,-56.051096861939016,-153.00676393246468",2.500000,77.281690,400000.000000,,,,0.519964,0,
175,6,"176,174","17.086520099604936,-55.46710414742823,-151.87220563055243",2.500000,79.774648,400000.000000,,,,0.519964,0,
176,6,"177,175","17.115680791798464,-54.883111432917445,-150.7376473286402",2.500000,82.267606,400000.000000,,,,0.519964,0,
177,6,"178,176","17.16247436585459,-54.29651354742969,-149.60526850022458",2.500000,84.760563,400000.000000,,,,0.519964,0,
178,6,"179,177","17.23944472905284,-53.705457190781985,-148.47661960731577",2.500000,87.253521,400000.000000,,,,0.519964,0,
179,6,"180,178","17.316415092251088,-53.11440083413427,-147.34797071440696",2.500000,89.746479,400000.000000,,,,0.519964,0,
180,6,"181,179","17.393385455449337,-52.523344477486575,-146.21932182149814",2.500000,92.239437,400000.000000,,,,0.519964,0,
181,6,"182,180","17.509589095464403,-51.93047174280475,-145.09539660083956",2.500000,94.732394,400000.000000,,,,0.519964,0,
182,6,"183,181","17.648635528919446,-51.33654145821609,-143.97422164419777",2.500000,97.225352,400000.000000,,,,0.519964,0,
183,6,"184,182","17.78768196237449,-50.74261117362744,-142.853046687556",2.500000,99.718310,400000.000000,,,,0.519964,0,
184,6,"185,183","17.926728395829535,-50.14868088903878,-141.73187173091424",2.500000,102.211268,400000.000000,,,,0.519964,0,
185,6,"186,184","18.055431521274272,-49.54142040749083,-140.61663494252113",2.500000,104.704225,400000.000000,,,,0.519964,0,
186,6,"185,187","18.182922446426133,-48.93259767248955,-139.50209408712",2.500000,107.197183,400000.000000,,,,0.519964,0,
187,6,"186,188","18.310413371577994,-48.32377493748826,-138.38755323171887",2.500000,109.690141,400000.000000,,,,0.519964,0,
188,6,"187,189","18.448993230947597,-47.70979631820263,-137.27758052471668",2.500000,112.183099,400000.000000,,,,0.519964,0,
189,6,"188,190","18.64658141067579,-47.06838133166943,-136.1919166249341",2.500000,114.676056,400000.000000,,,,0.519964,0,
190,6,"189,191","18.844169590403986,-46.426966345136215,-135.1062527251515",2.500000,117.169014,400000.000000,,,,0.519964,0,
191,6,"190,192","19.04175777013218,-45.785551358603,-134.02058882536892",2.500000,119.661972,400000.000000,,,,0.519964,0,
192,6,"191,193","19.23890567757726,-45.138558116328106,-132.93818631291032",2.500000,122.154930,400000.000000,,,,0.519964,0,
193,6,"192,194","19.435448763083368,-44.483901771961264,-131.86026411565823",2.500000,124.647887,400000.000000,,,,0.519964,0,
194,6,"193,195","19.63199184858948,-43.829245427594415,-130.78234191840613",2.500000,127.140845,400000.000000,,,,0.519964,0,
195,6,"194,196","19.82853493409559,-43.17458908322757,-129.704419721154",2.500000,129.633803,400000.000000,,,,0.519964,0,
196,6,"195,197","20.02478804313887,-42.515622132852734,-128.62907978868185",2.500000,132.126761,400000.000000,,,,0.519964,0,
197,6,"196,198","20.220907434118548,-41.85466741463389,-127.55493062680775",2.500000,134.619718,400000.000000,,,,0.519964,0,
198,6,"197,199","20.41702682509823,-41.19371269641504,-126.48078146493364",2.500000,137.112676,400000.000000,,,,0.519964,0,
199,6,"198,200","20.613146216077908,-40.5327579781962,-125.40663230305954",2.500000,139.605634,400000.000000,,,,0.519964,0,
200,6,"199,201","20.852729554576765,-39.86660298987513,-124.34463253735544",2.500000,142.098592,400000.000000,,,,0.519964,0,
201,6,"200,202","21.094718637076305,-39.2001601648684,-123.28330524478407",2.500000,144.591549,400000.000000,,,,0.519964,0,
202,6,"201,203","21.33670771957585,-38.533717339861674,-122.22197795221271",2.500000,147.084507,400000.000000,,,,0.519964,0,
203,6,"204,202","21.608879276993825,-37.857326094120566,-121.17660707307647",2.500000,149.577465,400000.000000,,,,0.519964,0,
204,6,"203,205","21.99412837999416,-37.14366345158043,-120.19101631708854",2.500000,152.070423,400000.000000,,,,0.519964,0,
205,6,"206,204","22.379377482994492,-36.430000809040294,-119.20542556110061",2.500000,154.563380,400000.000000,,,,0.519964,0,
206,6,"205,207","22.764626585994833,-35.71633816650014,-118.21983480511265",2.500000,157.056338,400000.000000,,,,0.519964,0,
207,6,"208,206","23.08556710029735,-34.98171839189463,-117.22920806320931",2.500000,159.549296,400000.000000,,,,0.519964,0,
208,6,"207,209","23.335071484973398,-34.22381873456841,-116.23298717984004",2.500000,162.042254,400000.000000,,,,0.519964,0,
209,6,"210,208","23.58457586964945,-33.46591907724219,-115.23676629647076",2.500000,164.535211,400000.000000,,,,0.519964,0,
210,6,"209,211","23.834080254325492,-32.70801941991597,-114.2405454131015",2.500000,167.028169,400000.000000,,,,0.519964,0,
211,6,"212,210","24.036379732900485,-31.98627971906683,-113.20828539554712",2.500000,169.521127,400000.000000,,,,0.519964,0,
212,6,"211,213","24.22182332026536,-31.277451987393835,-112.16315655194678",2.500000,172.014085,400000.000000,,,,0.519964,0,
213,6,"214,212","24.40726690763024,-30.568624255720845,-111.11802770834643",2.500000,174.507042,400000.000000,,,,0.519964,0,
214,6,"213,3829","24.592710494995114,-29.85979652404786,-110.07289886474611",2.500000,177.000000,400000.000000,,,,0.519964,0,
215,7,"216,3826","6.0864033699035645,-66.93048858642578,-188.23606872558594",4.230000,0.000000,400000.000000,,,,0.674084,0,
216,7,"215,217","7.5497269956144795,-66.95262197604572,-187.2938124822681",4.230000,2.428571,400000.000000,,,,0.674084,0,
217,7,"218,216","9.013050621325394,-66.97475536566566,-186.35155623895028",4.230000,4.857143,400000.000000,,,,0.674084,0,
218,7,"217,219","10.476418744239322,-66.99686968190022,-185.40936867047608",4.230000,7.285714,400000.000000,,,,0.674084,0,
219,7,"220,218","11.93996486002848,-67.0189077028516,-184.46745580764733",4.230000,9.714286,400000.000000,,,,0.674084,0,
