NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1325,25.173081683125073 36.262449658628626 47.67446977055957,65,0,791.0333693035533,2
1347,14.420513011868945 34.279988720092646 14.24136861803605,64,1,900.6516424634041,2
1370,13.088296651591449 18.309922542509504 53.4749083279535,57,2,649.2507172465978,2
1418,26.823515370674595 -9.855058634258416 51.99222179479135,114,3,1542.212225383679,2
1436,23.902042926486104 -9.604635506883081 46.9053657032478,84,4,1093.549634993811,2
1451,32.59307238352141 2.819895546160531 43.280963800147475,73,5,924.1040525541248,2
1464,28.610936526032408 17.01321035419323 43.294979607814554,64,6,957.2963973217497,2
1484,4.42024007571979 -23.94906998523114 29.452604837388222,37,7,399.992603253294,2
1547,20.52840314436581 -39.905201828058935 43.97069843073833,39,8,597.7673788512624,2
1556,24.79710048134593 -38.16066512648726 59.23455116335996,31,9,481.522139005272,2
1564,6.103214461848034 -38.69817627666629 51.24304643552771,51,10,584.988618605757,2
1578,21.621486630383217 -26.948110082929798 54.15791614679401,54,11,834.6882145296269,2
1626,31.83168563122458 37.18216818769224 24.41578937529227,55,12,679.7089565355913,2
1645,21.999290723734823 85.45735168448874 -17.32926078825939,42,13,667.5986855600901,2
1685,62.387808589499855 24.460862394774182 -42.469599575339664,77,14,912.532924796584,3
1838,41.210279551672166 -55.51448314949569 30.142313867967438,65,15,824.4117124419138,3
1855,46.09942632224746 -44.99962427007694 46.14098754123385,127,16,1630.1812621759943,3
1875,21.753675308748594 -39.29449587816466 35.24921180741617,81,17,1232.7584755467087,3
1899,41.07909816847281 -26.33406161492974 36.71076351000472,122,18,1440.1329161724361,3
1929,41.22345551713122 -20.47863470613195 52.70612417722898,50,19,684.3906275336066,3
1938,59.25441375500607 -4.535607868452382 -1.0673147498636617,54,20,766.8800002593172,3
1951,69.38945385478476 2.6872628968466667 -6.877295989645364,47,21,611.5697884230542,3
2021,44.120533714952735 28.156798720417378 -10.482374659772447,50,22,688.4915808942344,3
2042,58.90890196258684 64.11479584831932 -14.449642220205568,69,23,925.3968396542158,3
2073,48.34342801764082 47.461793773446075 25.87545144746741,69,24,898.7245568358136,3
2101,45.00581897761271 28.783258420370814 20.771115492464293,112,25,1552.623498106955,3
2139,35.06112779743368 6.989542587386405 42.19408365455335,70,26,995.3573339892322,3
2178,44.987366639063126 -10.670775644357763 44.71944697340403,60,27,748.6805049174824,3
2186,71.90201677527858 1.7312769472880647 9.838056274619877,97,28,1309.9672808934233,3
2295,69.50862003804838 4.147578731933947 -19.595249365460294,66,29,988.4546191500453,3
2316,75.91273026287628 -2.22397321212317 -22.14637895813668,70,30,915.1268021143059,3
2334,70.78063935442793 -50.668817666397096 -13.46844547378545,79,31,1088.5409246710674,3
2373,46.784671717755955 -80.0836496472599 11.947926872411934,69,32,834.5289185211561,3
2398,51.14584412793468 -71.63928871002678 25.037527238147774,75,33,995.1612995617064,3
2405,48.9536291045206 -44.49818446653705 6.892771968663239,122,34,1757.7887197777484,3
2418,47.11162458709956 49.80847709099534 -34.447856212926276,48,35,757.0492212471315,3
2445,58.585286673663354 56.13501004655909 -32.26397447032211,61,36,921.1793892253928,3
2605,-56.39976234148973 11.798998610642059 6.96739409116493,53,37,804.5503999847576,4
2613,-35.16424505441854 -8.976057150603882 33.83580522846976,37,38,458.67540821423916,4
2623,-29.062892466675 -5.853711434984764 46.193280457103725,51,39,665.0825627516048,4
2674,-33.714208491564165 -69.65482893835099 1.7992809769152986,90,40,1379.4387473854013,4
2690,-62.73101463108064 -46.01673538052394 -21.43073997774816,47,41,541.6677639643955,4
2695,-67.23246735400264 -12.811794179972521 -25.75986978344256,56,42,716.0183102726405,4
2713,-57.46613881075577 33.7589739645219 19.343871917493466,114,43,1613.1400707474781,4
2765,-30.13173532583431 16.11705446459882 46.94071323743208,45,44,700.2174211318608,4
2771,-38.78015751420747 -4.3356011546958495 52.01128239719854,28,45,397.5465873758179,4
2776,-33.460171566557804 6.921055754080678 40.39153960046016,59,46,857.6270393836886,4
2846,-56.921590445123954 40.29414494255676 1.179415273834626,75,47,1050.1859475684296,4
2869,-37.88963629030367 58.36676282646186 22.63321838011584,72,48,1121.9836568503954,4
2888,-45.08371459359078 42.18992517627093 29.524492320284935,93,49,1155.6322184769192,4
2908,-41.87312001927381 67.4846043373013 -10.427611570472044,61,50,928.5753174614316,4
2930,-39.57399833824603 77.51312198146096 -22.047854308441575,29,51,337.35236633328583,4
3045,-46.8509370677442 -56.80022500080923 18.167364772216597,40,52,447.49521192560263,4
3050,-25.969795467057658 -55.750474521327796 36.69771487585665,83,53,1042.432124766221,4
3056,-27.304752690395052 -67.28542474178623 37.41411266406142,62,54,775.2783380283454,4
3095,-18.956898372457996 -41.75348468171661 37.43602953353919,89,55,1237.219641223089,4
3121,-33.12621331906982 -28.083995599149755 29.45674584078985,69,56,985.7532781355542,4
3135,-29.8047549383333 -18.953365122284 30.918144401584968,100,57,1391.7495809572517,4
3225,-55.4867442560958 -46.633495651042 -13.437872389347824,71,58,1025.5173374146798,4
3237,-59.18504232212436 9.144240645980117 -24.287574935106196,79,59,971.1690509463523,4
