NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1307,6.882038847456677 15.128840119280055 36.003626002806975,35,0,365.3882204587793,2
1334,0.2472091181746061 5.350782918792889 58.70207986600644,135,1,1830.4743547081102,2
1363,30.98882347819024 -26.753686885252595 52.415892427139916,51,2,702.3382401621177,2
1371,7.92949680924168 50.04982608724483 16.79751955956521,54,3,761.371833443002,2
1394,10.374110481373936 32.58917264039716 43.68635391422024,56,4,753.6972978505698,2
1450,-0.10191427617690753 -28.21825127676115 59.74937803423823,42,5,660.4277604667503,2
1481,18.37230756289384 -52.66261877936776 44.73312258705692,59,6,734.6129767333883,2
1486,6.532954760407974 -38.69423688231201 34.95548494734195,49,7,774.225005271498,2
1503,-0.8003484967490094 -55.36617138468751 40.542682471735255,85,8,1063.0293506917887,2
1513,3.3900130826426857 -42.86203301614923 16.447435977634452,39,9,426.7162747881084,2
1562,19.49829119358846 75.89138510487537 1.4325680396111498,49,10,689.1632185583364,2
1594,27.496355860336273 59.8277523050686 10.511785901380366,68,11,805.8867636553873,2
1619,20.51218882105274 80.0817095866365 19.591418662555817,36,12,541.1567625486033,2
1648,34.14274617743733 37.47819263795042 38.09897188832723,38,13,516.6898213147874,2
1659,24.34236432537579 29.79570081406764 27.273492698841043,35,14,479.1867549565852,2
1687,24.680206114727017 13.732444429309394 -4.853796086111134,84,15,1060.5128975031232,3
1802,49.124688755481785 61.92311288051703 4.225969349056864,45,16,688.0778085858796,3
1834,35.832144418127804 81.47888010023689 -11.138935663386494,36,17,499.5527911321074,3
1866,38.648477352601034 50.748435127679805 4.225907009559562,100,18,1603.2798168637623,3
1894,57.122749987863635 40.97060204820844 9.813060466660982,45,19,655.8216226908852,3
1936,61.403536154468206 -33.06146058509129 8.066288986295389,72,20,1064.751746643456,3
1985,58.58743548072052 -14.925484976460982 39.49519103265068,70,21,874.1273340618914,3
2011,41.12708658299245 -33.06182505301307 40.89192557946125,51,22,584.0667317888283,3
2038,35.832568404521844 -39.36991043483475 20.288616827501123,86,23,1041.2728980133115,3
2061,43.60537635252797 -50.52222068586382 41.24095623165039,54,24,678.3631346546545,3
2128,46.64674633406486 -1.6330910265685499 40.54299488079719,76,25,846.7778825825317,3
2146,51.94113337091755 10.938468514254941 34.257351956400406,130,26,1776.1056898884276,3
2158,39.66254608315353 -10.757435434118952 26.225411717771756,42,27,556.7714416798912,3
2177,33.46698671425347 -19.093479337751134 36.35239105098316,53,28,638.4409220312256,3
2201,57.12285100874094 -52.66191768200225 -18.473686978940567,58,29,804.7774811201089,3
2246,44.619026072695966 -75.64212316768517 -14.632565743515407,73,30,851.3406153700639,3
2306,16.682514757962668 -58.85804619139439 23.780591979338038,99,31,1477.3604921839335,3
2311,17.358445337748975 -72.15050708343117 26.57412424179658,42,32,454.0764411489894,3
2333,17.35836452021832 -74.96650528656166 6.320035748948952,59,33,693.8254453630575,3
2354,18.710133221083797 -91.07502816082138 -3.4579480101297344,85,34,1297.338120020376,3
2375,36.17002086757282 52.14570930263646 -42.56793590555279,62,35,1030.7641110404631,3
2422,68.72546927593737 -4.448693426070201 -15.33040011323653,55,36,769.4341459797032,3
2446,66.58507174263639 15.129571000363605 -25.10802564470697,43,37,732.4899745304376,3
2505,54.757222750525145 36.77995822501126 24.479765320712488,56,38,839.2839631438064,3
2530,47.435089896970055 24.2085887665057 10.511356710168798,55,39,604.3260050301602,3
2537,55.77110884161515 14.430648512467194 24.82875307163447,62,40,833.7800673123095,3
2560,29.186313910050092 16.52566100437503 42.63849368267208,46,41,523.2096165461438,3
2705,-48.99141299640492 47.954482245031734 12.607249513646078,89,42,1018.9500154532067,4
2728,-42.70560121432996 42.367038757811244 25.877071930727986,66,43,1041.9433935341365,4
2766,-29.78475624403177 24.20802125704396 50.321397378887845,67,44,931.2450195315876,4
