NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1289,14.549204263442741 84.56667198876892 -3.619128477722564,58,0,799.2582769566544,2
1298,7.628788073531264 88.20895532098413 10.586017414333774,121,1,1705.5103715220603,2
1321,-0.7485314138829775 60.52718441486125 0.023197352843152955,98,2,1236.7787296344459,2
1356,16.370504919356513 71.45418520840148 30.254583476564026,63,3,694.7275780772859,2
1399,10.178778145740107 -10.886167649957812 26.6120791347179,82,4,1144.2382283117258,2
1437,15.27788588059654 50.32860666964018 36.44651525609493,131,5,1660.342705134343,2
1466,-3.662170793325216 29.202955987472905 49.92317195553988,87,6,1193.0106089136282,2
1510,14.185494185769052 -28.392951372397963 60.121544597557644,111,7,1496.6580682852198,2
1546,13.821212384699571 -30.507814036412977 39.36021043341207,48,8,669.3699193918899,2
1552,20.013112815954695 -19.580745422444796 24.426632302280584,33,9,504.470149380558,2
1578,41.173587604008276 43.04415921045395 -28.75142447904158,38,10,516.3192285970631,3
1622,52.10059189959144 59.07044734450692 -13.453597968949369,177,11,2147.1592308746285,3
1652,34.59395096695203 54.69952702810603 12.77127411455879,129,12,1761.9170812336479,3
1714,49.86818756280843 42.31572690432668 -33.850722978549456,52,13,626.4796108710791,3
1768,46.22629365704068 -35.67748471199444 40.45281461595798,175,14,2494.7481288196605,3
1813,46.226180659068305 -10.181089675008375 28.068919817449235,63,15,790.7446341983974,3
1822,58.210589366948376 11.71996862313797 31.347041881558358,84,16,1313.5418078803534,3
1840,47.28362292356367 4.435233840401669 42.2740687518487,44,17,656.0230188485309,3
1850,55.74324721428201 4.435261205289148 41.90981528434804,78,18,1108.9170249539484,3
1897,50.220850227143146 26.28933321567795 14.592339061577565,47,19,635.3245290318836,3
1905,63.73276668730515 18.27623905646747 11.314180991617524,49,20,675.9380598102513,3
1935,60.09041335148239 29.20322702810512 17.87042364102224,70,21,882.7124988082883,3
1943,30.246768888200716 23.37538351379218 22.241296395103653,56,22,710.2818489733392,3
1962,33.53667494257588 21.9184185280073 40.45297575741115,69,23,1041.8418125749142,3
2009,62.675268141572914 1.5215636315899443 -26.566172083757365,113,24,1352.4685791026568,3
2086,53.510947131210486 -54.594053049336374 9.128643915052642,89,25,1265.8880880480701,3
2092,68.43254613559903 6.620811542018178 -6.897548628486879,98,26,1165.0265341994736,3
2122,52.45353770245421 -38.49734997280274 45.1878301239114,155,27,2104.9597549222203,3
2127,42.58404193530361 -76.44815670423942 25.883381517932776,131,28,1800.1161649885426,3
2135,40.469097170103154 -66.9310751906836 22.241069477138975,29,29,429.5215601725805,3
2149,-24.78796804549189 27.746154447185447 -40.43026484193664,70,30,947.2112245214216,4
2241,-37.90019456146145 16.818967215516313 19.3275931439655,72,31,936.4193856572591,4
2265,-52.1055265444932 31.388413894548208 -43.36755367112552,84,32,1147.3953727077471,4
2277,-60.84696957223598 2.2496177102538297 -14.910358139702216,54,33,647.1939424342189,4
2347,-48.098541975436994 -28.3931050283582 41.18154810337343,104,34,1255.6086218710634,4
2374,-63.03224047317604 -20.285939848885814 8.400562368015484,93,35,1376.2420709635405,4
2397,-57.204392024272046 -43.66741412653955 21.51291217569047,89,36,1317.3053455295947,4
2445,-27.337095228540345 -64.8164263753341 41.909883189570536,91,37,1410.8253389990914,4
2453,-40.085389812036986 -35.6777452194606 35.71800371831429,28,38,404.7557842509802,4
2465,-44.0919031925337 -46.60479408384947 44.82383812311842,41,39,477.4311905884491,4
2497,-60.482668551921314 -21.10833822249125 -17.82428196341838,78,40,971.5138038974361,4
2551,-68.13162328827161 -6.539011715986436 -16.367294351999103,89,41,1239.124740682955,4
2564,-51.012467940763635 -45.78225154944025 -0.34113784039054373,138,42,1784.0101180315414,4
2581,-42.999273798795805 -59.646615507533774 2.2084469831912816,79,43,998.0893581908197,4
2606,-51.74087860167991 -66.93130588434826 -4.347754659874707,31,44,322.2569832909138,4
2614,-33.89348691158722 -47.30961619551091 -6.168928111434116,42,45,625.6894351656597,4
2632,-43.727680663513624 -76.44838096301453 4.758048640159483,61,46,968.4966347048463,4
2642,-23.33051811596776 -88.08031903071142 16.413451188851276,77,47,1111.1917376029774,4
2659,-15.317360687611435 -93.95502898675038 14.592247517265868,35,48,539.3816504382335,4
2721,-36.44311377444774 -3.578188718936025 49.194715800693835,70,49,970.8061475793405,4
2789,-38.264270925619044 -26.865609040669952 25.88370629361753,64,50,1034.6097832244352,4
2812,-54.290767217547 28.474412802191747 12.771452620022828,90,51,1092.091786468141,4
2843,-12.768321231170708 78.73885171037408 -6.168705556991191,167,52,2400.6563552135863,5
2892,-29.158773506617862 76.55334340918378 17.870765832542748,117,53,1691.1420913210814,5
2970,-19.324234402559032 32.11677913302665 49.92322007317607,129,54,1977.2641974209103,5
2994,-40.449784924817145 25.560512071621883 46.28092082743341,78,55,1052.2384354717583,5
3001,-33.893627534546546 35.7590962734993 38.99624850595017,127,56,1673.115507993988,5
3031,-25.15183670220238 -1.392780902199845 63.03557905496562,123,57,1433.2673605443442,5
3050,-2.5693472143796674 -3.5781000923895383 57.20776950002062,143,58,2000.2140542765774,5
3099,3.9869842786418848 -53.06685619353825 44.82369590382229,219,59,2634.4077210156997,5
3134,-6.940103311693922 -26.160593105756373 49.19458735683059,150,60,1828.4457285782144,5
3177,56.44820447484561 -50.95161909577345 -28.751672999271523,79,61,1031.2932988570249,6
3194,18.920281885425347 -23.22297076754116 -28.387278622247415,55,62,773.4290657429814,6
3232,7.993464049057949 -48.01450073099075 16.049222130474565,177,63,2397.5534912404937,6
3270,10.907259111526212 -55.299087656238726 -20.73841760861838,182,64,2610.9575822704173,6
3317,13.821326492415919 -72.10095077355628 33.168142854402895,117,65,1546.2207704965422,6
3324,12.36428334878866 -63.28877977706304 2.9367591363366876,72,66,782.4553550129829,6
3335,13.09279187727809 -69.8685049335438 10.585653277432188,102,67,1460.4630344906877,6
3355,-11.311163430485248 -13.823475804579283 -31.665282911587852,145,68,1796.933133761768,7
3417,-28.06573040132409 -73.51087879702212 -30.93690169401431,78,69,1059.2462770290126,7
3424,-14.589130908444588 -50.95185259250628 -24.016445670360252,74,70,998.2557681231432,7
3454,6.17233876524496 -81.50046880583633 -6.8975778526630895,159,71,2103.8709084264806,7
3489,2.165797917511487 -77.85818035302593 9.128729083850137,142,72,1802.2479785786527,7
3524,-3.661892819529604 -77.85824053683606 28.06890288705449,130,73,1818.4848389519234,7
3545,-1.8408146137019852 -61.87891231561748 12.771113239381904,110,74,1785.437062005731,7
1140,25.0 -74.0 -36.0,203,75,3022.6890594517845,8
1145,-25.0 -74.0 -34.0,203,76,2829.6456618125276,8
1150,28.0 -55.0 -48.0,107,77,1369.6289081039642,8
1155,-28.0 -55.0 -48.0,107,78,1374.9545576581581,8
1212,32.0 -40.0 -60.0,107,79,1499.3387046119526,8
1217,-30.0 -48.0 -60.0,107,80,1545.8890438631092,8
1162,-3.1 -16.3 -58.5,17,81,75.91378359077072,9
1165,1.6 -15.7 -57.2,17,82,123.06541388659298,9
1168,-6.1 -14.0 -50.4,17,83,90.73772240472549,9
1171,2.2 -12.8 -51.7,17,84,121.69466544761981,9
1174,-8.2 -10.9 -48.2,17,85,99.82292272598535,9
1177,2.39 -9.2 -48.9,17,86,120.85658254809691,9
1180,-8.8 -5.81 -46.1,17,87,95.07214978735749,9
1183,2.7 -3.2 -46.6,17,88,80.77279086126913,9
1186,-8.4 -0.6 -40.7,17,89,78.16926106617828,9
1189,0.3 1.3 -41.3,17,90,94.64377760370667,9
1192,-6.8 3.0 -34.6,17,91,95.3185565492827,9
1195,-3.0 1.4 -34.0,17,92,81.11041997670357,9
