TriangleNumber,ClusterID,Area
0,89,2.8874586972948593
1,90,2.92442700469237
2,90,3.1129889355373903
3,14,2.3105231403936326
4,14,1.9058778420926246
5,14,1.9414545234730989
6,35,2.4835999140706355
7,35,2.6503261416985664
8,35,2.684406199764941
9,61,2.628525643279509
10,61,2.7434388241257732
11,77,2.455738767543779
12,84,2.8616018601777604
13,84,2.7186948669808206
14,77,3.1273918334600777
15,59,2.887613146883919
16,59,2.5576067378786234
17,59,2.330625634036921
18,24,3.039264892628113
19,24,2.7179348085987156
20,71,3.3761907581543102
21,84,2.445300401989207
22,84,2.5142986900604
23,84,2.7823525590066405
24,102,2.896308377615232
25,102,2.8132275267364704
26,90,3.0690696397125157
27,86,2.83899103713189
28,86,2.8502938553294097
29,88,2.7792856981373806
30,88,2.778718405373477
31,88,3.3152932227211185
32,88,3.50978809209964
33,92,2.889695932666258
34,92,2.6075987383080297
35,87,2.9734197558870763
36,87,2.632790336535146
37,45,2.8288338695251447
38,45,2.545535501876512
39,45,2.4678144702180487
40,45,2.5715088581851444
41,45,2.5722592000824247
42,45,2.7352463048301145
43,45,2.3257115299522124
44,66,2.5561487981443367
45,66,2.5040645570019784
46,66,2.470165435012628
47,66,2.6254817597921654
48,66,2.5309626541336225
49,32,2.979723633138892
50,32,2.3419516159673135
51,32,2.877631081788678
52,63,2.732295407772248
53,63,2.6806765537756796
54,63,2.4770106681960637
55,36,2.4340410303897673
56,36,2.209602099228762
57,11,2.460255808500712
58,11,2.4305663812704177
59,63,2.602500674795921
60,65,2.619678728602229
61,65,2.707104451413169
62,5,2.5475329777101874
63,5,2.26054632385729
64,5,2.1328124810941107
65,5,2.4488573259711863
66,64,2.838770575981986
67,64,2.6705731048385917
68,64,2.7250931820862703
69,25,1.5675442823314274
70,25,1.379671642779261
71,25,2.321012327915949
72,25,3.3831088002567777
73,61,3.088271391661842
74,61,3.0696472505906938
75,61,2.808545631136765
76,61,2.8708300913579774
77,40,2.938352614266072
78,2,2.677575812418408
79,50,2.5506980891178266
80,50,2.744450410723274
81,64,2.5707214620269925
82,64,2.710475019026708
83,48,2.3923971817493253
84,48,2.34162618528005
85,48,2.5951826893309042
86,79,2.549484452811212
87,79,2.598178038382866
88,79,2.792558638513727
89,79,2.7684230658911413
90,74,2.246872946798423
91,66,2.906544283120518
92,66,2.7725595146766593
93,66,3.020327988895829
94,2,2.9611466616712088
95,2,2.661420957937474
96,2,2.8617764261400396
97,2,2.5193672633649933
98,2,2.5692132076330165
99,2,2.951940766177323
100,17,2.6072962417242422
101,17,2.8869195958257268
102,57,3.451498888804763
103,5,2.4407326742699276
